A & M Institute Of Mgt. & Tech ,,Punjab   
C N Arts And B D Commerce College,,Gujarat  
C N B College,,Bihar  
C N College,,Bihar  
C Nehru Maha Vidyalaya Art And Science College Coimbatore,Coimbatore  ,Tamil Nadu  
C P Patel F H Shah Commerce College,,Gujarat  
C R Arya College,,Haryana  
C R Kisan College,,Haryana  
C S H Desai Arts College And L K L Doshi Commerce College Gujarat,,Gujarat  
C S I Ewart Womens Christian College,Kanchipuram  ,Tamil Nadu  
C S R Sarma College,Ongole  ,Andhra Pradesh  
C U Shah Arts College,,Gujarat  
C U Shah City Commerce College,,Gujarat  
C U Shah Commerce College,,Gujarat  
C U Shah Science College,,Gujarat  
C. Abdul Hakeem College(Men),Vellore  ,Tamil Nadu  
C. Impact Institute,,Uttar Pradesh  
C. K. Pithawala College Of Engineering & Technology,Surat  ,Gujarat  
C. Kandasami Naidu College For Men,Chennai  ,Tamil Nadu  
C. Kandaswami Naidu College For Women,Cuddalore  ,Tamil Nadu  
C. S. I. College Of Education,,Andhra Pradesh  
C. V. Raman College Of Engineering,Bhubaneswar  ,Orissa  
C.A.T. College,Nampally  ,Andhra Pradesh  
C.Abdul Hakeem College Of Engineering And Technology,Vellore  ,Tamil Nadu  
C.Achuta Menon Government College,,Kerala  
C.B. Gupta Agriculture Degree College,,Uttar Pradesh  
C.B. Memorial Degree College,Mahabubnagar  ,Andhra Pradesh  
C.B.M. College,Coimbatore  ,Tamil Nadu  
C.C.R.D. College,,Uttar Pradesh  
C.D. Jain College Of Commerce,,Maharashtra  
C.E S. College Of Arts & Commerce,,Goa  
C.E.S. College Of Educational Research And Training,,Delhi  
C.F. Teacher Training Institute,,Kerala  
C.H. Mohammed Koya Memorial Pptti,,Kerala  
C.H.M.M. College For Advanced Studies,Trivandrum  ,Kerala  
C.I. College,,Manipur  
C.I.T. Sandwich Polytechnic College,Chennai  ,Tamil Nadu  
C.J. Mandavia Edn & Charitable Trust,,Gujarat  
C.J. Patel Arts & Commerce College,,Maharashtra  
C.K. Patel College Of Primary Teacher Education,,Gujarat  
C.K. Raghavan Memorial College Of Education,,Kerala  
C.K. Raghavan Memorial Teacher Training Institute,,Kerala  
C.K.G. Memorial Government College,Kozhikode  ,Kerala  
C.K.G.M. Government College,,Kerala  
C.K.M. Arts & Science College,Warangal  ,Andhra Pradesh  
C.K.S. College Of Education,,Tamil Nadu  
C.K.S. Teacher Training Institute,,Tamil Nadu  
C.L. Baid Mehta College Of Pharmacy,Chennai  ,Tamil Nadu  
C.L. College Of Education,,Haryana  
C.L. Jain College,,Uttar Pradesh  
C.L.E. Societys B Ed College,,Karnataka  
C.L.R. College Of Education,,Andhra Pradesh  
C.M. Institute Of Mgt,Mandal  ,Andhra Pradesh  
C.M.A. B.Ed College,,Karnataka  
C.M.B.C. Degree College For Women,Ongole  ,Andhra Pradesh  
C.M.D. Post Graduate College,,Chhattisgarh  
"C.M.I. Degree College, Anantapur",Anantapur  ,Andhra Pradesh  
"C.M.I. Degree College, Kalyandurg",Kalyandurg  ,Andhra Pradesh  
C.M.R. Instt Of Mgt. Studies,Bangalore  ,Karnataka  
C.M.R. Law College,Bangalore  ,Karnataka  
C.M.S. College,Kottayam  ,Kerala  
C.M.S. College Of Education,,Tamil Nadu  
C.M.S. College Of Science & Commerce,Coimbatore  ,Tamil Nadu  
C.M.S. Teacher Training Institute,,Tamil Nadu  
C.Madhya Pradesh. Degree College,,Uttar Pradesh  
C.N.I. Teacher Training Institute,,Kerala  
C.N.K. Reddy College Of Business Mgt,Bangalore  ,Karnataka  
C.N.K. Reddy College Of Education,,Karnataka  
C.N.R. Arts & Science College,Piler  ,Andhra Pradesh  
C.P. & Berar Education Societys Arts & Commerce College,,Maharashtra  
C.P. Mahila Mahavidyalaya,,Madhya Pradesh  
C.P.A. College,Theni  ,Tamil Nadu  
C.P.C.L. Polytechnic College,Salem  ,Tamil Nadu  
C.P.M. Degree College,Allahabad  ,Uttar Pradesh  
C.R. College Ccc,Guntur  ,Andhra Pradesh  
C.R. College Of Education,,Haryana  
C.R. Institute Of Education,,Haryana  
C.R. Institute Of Management Studies,Bhopal  ,Madhya Pradesh  
C.R. Law College,Hissar  ,Haryana  
C.R. Memorial Tt College,,Rajasthan  
C.R. Reddy Degree College,Rayachoti  ,Andhra Pradesh  
C.R. Reddy Law College,Eluru  ,Andhra Pradesh  
C.R.C. Techer Training College College,,Rajasthan  
C.R.R. College Of Eduction,,Andhra Pradesh  
C.S. Jain College Of Education,,Tamil Nadu  
C.S. Jain College Of Physical Education,,Tamil Nadu  
C.S. Jain Teacher Training Institute,,Tamil Nadu  
C.S. Mahavidylaya,,Uttar Pradesh  
C.S. Tubachi Education Society,,Karnataka  
C.S.I. Bishop Appasamy College Of Arts And Science,Coimbatore  ,Tamil Nadu  
C.S.I. College Of Education,,Tamil Nadu  
C.S.I. Darling Selvabai Thavaraj David College Of Arts & Science For Women,Madurai  ,Tamil Nadu  
C.S.I. Jeyaraj Annapackiam College,Tirunelveli  ,Tamil Nadu  
C.S.I. Polytechnic College,Chennai  ,Tamil Nadu  
C.S.I. Rayalaseema Diocese Institute Of Mgt. & Tech,Anantapur  ,Andhra Pradesh  
C.S.I. Teacher Training Institute,,Kerala  
C.S.I. Teacher Training Institute,,Tamil Nadu  
C.S.I. Teacher Training Institute For Women,,Tamil Nadu  
C.S.I.Institute Of Technology,Kanyakumari  ,Tamil Nadu  
C.S.K.M. College Of Law,Rajahmundry  ,Andhra Pradesh  
C.T. College Of Education,,Punjab  
C.T.Insitute Of Management & Information Tech,,Punjab  
C.T.M. College Of Arts And Science,Chennai  ,Tamil Nadu  
"C.U Shah Medical College, Surendranagar",,Gujarat  
C.V. Raja Reddy Memorial Degree College,Chitoor  ,Andhra Pradesh  
C.V. Raman College Of Education,,Madhya Pradesh  
C.V. Raman Degree College,Mancherial  ,Andhra Pradesh  
C.V.L.N.R. Insitute Of Science & Technology,Anantapur  ,Andhra Pradesh  
C.V.S.R. College Of Engineering.,Ghatkesar  ,Andhra Pradesh  
Caarmel Engineering College,Pathanamthitta  ,Kerala  
Cachar College,Silchar  ,Assam  
Calcutta Girls B.T. College,,West Bengal  
Calcutta Girls College,,West Bengal  
Calcutta Institute Of Engineering And Management,Calcutta  ,West Bengal  
Calcutta Institute Of Technology,Howrah  ,West Bengal  
Calcutta National Medical College,Calcutta  ,West Bengal  
Calicut Orphanage Tti,,Kerala  
Calicut University Teacher Education Centre,,Kerala  
Calicut University Teacher Eduction Centre,,Gujarat  
Cambridge College Of Education,,Haryana  
Cambridge College Of Education (For Girls),,Haryana  
Cambridge Court College Of Education,,Rajasthan  
Cambridge Institute Of Technology,Bangalore  ,Karnataka  
Cambridge Institute Of Technology Jharkhand,Ranchi  ,Jharkhand  
Camellia Institute Of Technology,Calcutta  ,West Bengal  
Camellia School Of Business Management,Calcutta  ,West Bengal  
Camellia School Of Engineering & Technology,Calcutta  ,West Bengal  
Campus School Department Of Edn,,Uttar Pradesh  
Canara College,,Karnataka  
Canara Engineering College,,Karnataka  
Cancer Chikitsalya (Jan Vikas Nyas) Nursing Mahavidyalaya,,Madhya Pradesh  
"Cancer Institute, College Of Oncological Sciences, Chennai",Chennai  ,Tamil Nadu  
Cane Societies Nehru Degree (Pg) College,,Uttar Pradesh  
Cape Institute Of Technology,Tirunelveli  ,Tamil Nadu  
Capital Law College,Bhubaneswar  ,Orissa  
Capitol Teachers Training College,,Karnataka  
Capitol Teachers Training Institution,,Karnataka  
Capitonia Teacher Training Institute For Women,,Karnataka  
Capt Haardev Singh College Of Education,,Haryana  
Captain Sukhwasi Singh Smarak Janta Mahavidyalaya,,Uttar Pradesh  
Cardamom Planters Association College,Theni  ,Tamil Nadu  
Care Degree College,Nizamabad  ,Andhra Pradesh  
Career College,,Madhya Pradesh  
Career College Of Education & Technology,,Madhya Pradesh  
Career College Of Law,Bhopal  ,Madhya Pradesh  
Career Degree College,Brodipet  ,Andhra Pradesh  
Career Institute Of Technology And Management,Faridabad  ,Haryana  
Career Teacher Training College,,Rajasthan  
Carlin Telugu Pandit College,,Andhra Pradesh  
Carlo Bonvini Pg College,Mahabubnagar  ,Andhra Pradesh  
Carmel College,,Kerala  
Carmel College Of Arts Science Commerce For Women,,Goa  
Carmel Teacher Training Institute Pakyong,,Sikkim  
Carrier College,,Madhya Pradesh  
Cath Erine Inst Itute Of Elementry Teacher Educat,,Andhra Pradesh  
Catherine College Of Education,,Andhra Pradesh  
Catholicate College,,Kerala  
Cattamanchi Ramalinga Reddy College Of Education,,Andhra Pradesh  
Cauvery B Ed College,,Karnataka  
Cauvery College,,Karnataka  
Cauvery College For Women,Trichy  ,Tamil Nadu  
Cauvery College Of Engineering And Technology,Trichy  ,Tamil Nadu  
Cauvery D Ed College,,Karnataka  
Cbae Baireveshwara College Of Physical Education,,Karnataka  
Centenary College Of Physical Education,,Karnataka  
Centenary College Physical Education,,Karnataka  
Center For Environmental Law,Delhi  ,Delhi  
Center For Environmental Planning And Technology,,Gujarat  
Center For Higher Studies & Research For A A H Edu,,Madhya Pradesh  
Central Acedemy Teachers Training College,,Rajasthan  
Central Agricultural University,,Manipur  
Central College Of Engineering & Management,Raipur  ,Chhattisgarh  
Central College Of Information Technology,,Chhattisgarh  
Central Electrochemical Research Institute Cecri,Karaikudi  ,Tamil Nadu  
"Central Health Education Bureau, New Delhi",Delhi  ,Delhi  
Central India College Of Education,,Madhya Pradesh  
Central India College Of Law,Nagpur  ,Maharashtra  
Central India Institute Of Technology,Indore  ,Madhya Pradesh  
Central Institute Of Agricultural Engineering,Bhopal  ,Madhya Pradesh  
Central Institute Of Business Research Development,Nagpur  ,Maharashtra  
Central Institute Of English & Foreign Languages,,Andhra Pradesh  
Central Institute Of Fisheries Education,,Maharashtra  
Central Institute Of Higher Tibetan Studies,Varanasi  ,Uttar Pradesh  
Central Institute Of Plastics Engineering & Technology,Ahmedabad  ,Gujarat  
Central Institute Of Plastics Engineering & Technology,Bhopal  ,Madhya Pradesh  
Central Institute Of Plastics Engineering & Technology Bhubaneswar,,Orissa  
Central Institute Of Plastics Engineering & Technology Chennai,Chennai  ,Tamil Nadu  
Central Institute Of Plastics Engineering & Technology Karnataka,Mysore  ,Karnataka  
Central Institute Of Plastics Engineering & Technology Patna,Hajipur  ,Bihar  
Central Institute Of Plastics Engineering & Technology Uttar Pradesh,Lucknow  ,Uttar Pradesh  
Central Institute Of Psychiatry,Ranchi  ,Jharkhand  
Central Institute Of Tool Design,Hyderabad  ,Andhra Pradesh  
Central Instt Of Edu University Of Delhi,,Delhi  
Central Law College,Salem  ,Tamil Nadu  
Central Polytechnic College,Thanjavur  ,Tamil Nadu  
Central Research Institute,,Himachal Pradesh  
Central Womens College Of Education,,Uttar Pradesh  
Centre For Advanced Study In Psychology Utkal Univ,,Orissa  
Centre For Development Of Advance Computing,Mohali  ,Punjab  
"Centre For Develpoment Of Advanced Computing,Centre Of India",Noida  ,Uttar Pradesh  
Centre For Distance Education,,Tamil Nadu  
Centre For Human Initiative And Education Farther,,Madhya Pradesh  
Centre For It Education,Bhubaneswar  ,Orissa  
Centre For Management Research & Development,Pune  ,Maharashtra  
Centre For Management Studies,Jatni  ,Orissa  
Centre For Management Technology,Noida  ,Uttar Pradesh  
Centurion Institute Of Professional Studies,Jaipur  ,Rajasthan  
Century Foundation College Of Education,,Tamil Nadu  
Century Foundation Teacher Training Institute,,Tamil Nadu  
Century Foundation Teachers,,Tamil Nadu  
Centwin Institute Of Teacher Training,,Tamil Nadu  
Ch Charan Siggn University,Meerut  ,Uttar Pradesh  
Ch Ishwar Singh Kanya Mahavidyalaya,,Haryana  
Ch. Baluram Godara Government Girls College,,Rajasthan  
Ch. Charan Singh Degree College,,Uttar Pradesh  
Ch. Charan Singh Shivden Singh College,,Uttar Pradesh  
Ch. Devi Lal College Of Education,,Haryana  
Ch. Devi Lal Memorial Engineering College,Sirsa  ,Haryana  
Ch. Devi Lal Post Graduate Regional Centre,,Haryana  
Ch. Harchand Singh Mahavidhyalaya,,Uttar Pradesh  
Ch. Harchand Singh Mahavidyalaya,,Uttar Pradesh  
Ch. Hetram Johari Lal Memo College Of Education,,Haryana  
Ch. Institute Of Management And Commerce,Indore  ,Madhya Pradesh  
Ch. Kapoori Ram College Of Education,,Haryana  
Ch. Katar Singh Memorial College Of Education,,Haryana  
Ch. Mahkar Singh Girls College Of Education,,Uttar Pradesh  
Ch. Matu Ram College Of Education,,Haryana  
Ch. Mota Ram Meel Memorial College Of Education,,Rajasthan  
Ch. Mukhtiyar Singh Yadav Degree College,,Uttar Pradesh  
Ch. Multan Singh College Of Education,,Uttar Pradesh  
Ch. Narendra Singh College,,Uttar Pradesh  
Ch. P.R. Memorial College Of Education,,Haryana  
Ch. P.R.M. College Of Education,,Haryana  
Ch. Parma Ram Godara Shikshak Prashikshan College,,Rajasthan  
Ch. Pratap Singh Memorial College Of Edn,,Haryana  
Ch. R.R. Memorial College Of Education,,Haryana  
Ch. Raghunath Singh Mahavidyalaya,,Uttar Pradesh  
Ch. Rajmal College Of Education,,Haryana  
Ch. S D St Theresas College For Women,Eluru  ,Andhra Pradesh  
Ch. Shivnath Singh Shandilya (P.G) College,,Uttar Pradesh  
Ch. Suraj Singh Mahavidylaya,,Uttar Pradesh  
Ch. Tulsiram Yadav Mahavidyalaya,,Uttar Pradesh  
Ch.Nathu Singh Mahavidylaya,,Uttar Pradesh  
Chacha Satya Pal Tuli Memorial College Of Education,,Punjab  
Chacha Vishal Singh Degree College,,Uttar Pradesh  
Chadalawada Ramanamma Engineering College,Tirupati  ,Andhra Pradesh  
Chaiduar College,Sonitpur  ,Assam  
Chaitanya Bhahuuddeshya Shikshan Prasarak Mandal,,Maharashtra  
Chaitanya Bharathi Degree College,Chirala  ,Andhra Pradesh  
"Chaitanya Bharathi Degree College, Nalgonda",Nalgonda  ,Andhra Pradesh  
"Chaitanya Bharathi Degree College, Siddipet",Siddipet  ,Andhra Pradesh  
Chaitanya Bharathi Institute Of Technology,Hyderabad  ,Andhra Pradesh  
Chaitanya College Of Education,,Andhra Pradesh  
Chaitanya Degree & Pg College For Women,Visakhapatnam  ,Andhra Pradesh  
Chaitanya Degree College,Krishna  ,Andhra Pradesh  
"Chaitanya Degree College For Women, Mancherial",Mancherial  ,Andhra Pradesh  
"Chaitanya Degree College, Badvel",Badvel  ,Andhra Pradesh  
"Chaitanya Degree College, Budhavaram",Krishna  ,Andhra Pradesh  
"Chaitanya Degree College, Kakinada",Kakinada  ,Andhra Pradesh  
"Chaitanya Degree College, Razole",Razole  ,Andhra Pradesh  
"Chaitanya Degree College, Vizianagaram",Vizianagaram  ,Andhra Pradesh  
Chaitanya E.S. Degree College,Srikakulam  ,Andhra Pradesh  
Chaitanya Engineering College,Hyderabad  ,Andhra Pradesh  
Chaitanya Institute Of Computer Science,Kakinada  ,Andhra Pradesh  
Chaitanya Institute Of Engineering & Technology,Hyderabad  ,Andhra Pradesh  
Chaitanya Institute Of Science & Technology,Kakinada  ,Andhra Pradesh  
Chaitanya Kalashala,Rangareddy  ,Andhra Pradesh  
Chaitanya Pg College,Hanamakonda  ,Andhra Pradesh  
Chaitanya Teachers Training Institute,,Karnataka  
Chaithanya Bharathi Degree College For Women,Suryapet  ,Andhra Pradesh  
Chaithanya D Ed College,,Karnataka  
Chajju Ram College Education,,Haryana  
Chajju Ram Memorial Jat College,,Haryana  
Chakan Shikshan Mandals Arts & Commerce College,,Maharashtra  
Chakdaha College,,West Bengal  
Chakradhar Degree College,Guntur  ,Andhra Pradesh  
Chakravartula Bhaskara Rao (Cbr) Degree College,Pithapuram  ,Andhra Pradesh  
Chalapathi Institute Of Engineering & Technology,Kakinada  ,Andhra Pradesh  
Chalapati Degree College,Guntur  ,Andhra Pradesh  
Chamarajendra Academy Visual Arts,,Karnataka  
Chamaria Anchalik College,Kamrup  ,Assam  
Chamba Mi Millennium B Ed College,,Himachal Pradesh  
Chambal Bed Mahavidyalaya,,Madhya Pradesh  
Chamber Of Commerce Manali Ramakrishna Polytechnic College,Tuticorin  ,Tamil Nadu  
Chameli Devi Durga Prasad Girls Degree College,,Uttar Pradesh  
Chamelidevi Institute Of Technology & Management,Indore  ,Madhya Pradesh  
Champhai College,,Mizoram  
Chanakya Adhyapan Mandir,,Gujarat  
Chanakya B Ed College,,Gujarat  
"Chanakya Degree College, Jammikunta",Jamikunta  ,Andhra Pradesh  
"Chanakya Degree College, Mancherial",Mancherial  ,Andhra Pradesh  
"Chanakya Degree College, Nirmal",Nirmal  ,Andhra Pradesh  
Chanakya Institute Of Management,Mohali  ,Punjab  
Chanakya Ptc College,,Gujarat  
Chanakya Shikshan Mahavidyalaya,,Gujarat  
Chanchal College,,West Bengal  
Chand Bibi College Of Education,,Karnataka  
Chandanvan Institute Of Education,,Uttar Pradesh  
Chanddy Polytechnic College,Tiruvannamalai  ,Tamil Nadu  
Chandernagore Government College,,West Bengal  
Chandi Das Mahavidyalaya,,West Bengal  
Chandibali College,,Orissa  
Chandigarh College Of Education,,Punjab  
Chandigarh College Of Engineering And Technology,Chandigarh  ,Chandigarh  
Chandigarh Engineering College,Mohali  ,Punjab  
Chandmal Tarachand Bara College Of Arts Commerce & Science,,Maharashtra  
Chandra Bhagabai Yelgulwar Adhyapak Vidyalaya,,Maharashtra  
Chandra Bhan Singh Memorial Shikshan Sansthan,,Uttar Pradesh  
Chandra Chellappan College Of Education,,Tamil Nadu  
Chandra Kamal Bejbarua College,Jorhat  ,Assam  
Chandra Kamal Bezharua Commerce College,,Assam  
Chandra Kanta Hazarika College Dibrugarh,,Assam  
Chandra Sekhar College,,Orissa  
Chandra Shekhar Azad Institute Of Science & Technology,,Uttar Pradesh  
Chandra Shekhar Azad University,Kanpur  ,Uttar Pradesh  
Chandra Teacher Training School,,Tamil Nadu  
Chandrakala Devi Sarda Degree College,Vizianagaram  ,Andhra Pradesh  
Chandrakant Patil Memorial D Ed College,,Karnataka  
Chandrakanti Ramawati Devi Arya Mahila P G Colle,,Uttar Pradesh  
Chandrakanti Ramwati Devi Arya Mahila Pg College,,Uttar Pradesh  
Chandrakona Vidyasagar Mahavidyalaya,,West Bengal  
Chandralop Shikshan Prasarak Mandal,,Maharashtra  
Chandrapur Adhyapak Vidyalaya,,Maharashtra  
Chandrapur College,,West Bengal  
Chandrashekhar Shikshamahavidyalaya,,Madhya Pradesh  
Chandravati College Of Education
D A V Centanary College,,Himachal Pradesh  
D A V Centenary College,,Haryana  
D A V College,,Himachal Pradesh  
D A V College Bihar,,Bihar  
D A V College Cheeka,,Haryana  
D A V College For Girls,,Haryana  
D A V College For Women,,Haryana  
D A V College Haryana,,Haryana  
D A V College Himachal Pradesh,,Himachal Pradesh  
D A V College Karnal,,Haryana  
D A V College Naneola,,Haryana  
D A V College Of Education For Women Punjab,,Haryana  
D A V College Pehowa,,Haryana  
D A V College Pundari,,Haryana  
D A V College Sadhaura,,Haryana  
D B College,,Bihar  
D B K N College,,Bihar  
D Banumaiahs College Commerce Arts,,Karnataka  
D D Chokshi College Secondary Education,,Gujarat  
D D Thaker Arts K J Patel Commerce College,,Gujarat  
D G Shikshan Mahavidyalaya,,Gujarat  
